episode,s_P1,s_P2,pP1_GA1,pP1_GA2,pP1_GA3,pP2_GA1,pP2_GA2,pP2_GA3,p_GA1,p_GA2,p_GA3
1,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,0.4992777321106492,0.5007222678893508,0.3535548468266766,0.314870454522889,0.3315746986504344,0.3535691604908274,0.3148624595473205,0.331568379961852,0.353562013997052,0.3148664512605906,0.3315715347423573
3,0.4958224548150174,0.5041775451849827,0.3735866612300973,0.2971513103256771,0.3292620284442255,0.3736326409959513,0.2971265324110619,0.3292408265929867,0.3736098431955739,0.2971388178575117,0.3292513389469146
4,0.4970002232285558,0.5029997767714443,0.3934644804416748,0.2803115325755168,0.3262239869828083,0.3935292224765136,0.2802778566375296,0.3261929208859569,0.3934970456707465,0.2802945935862266,0.3262083607430269
5,0.4979737959671375,0.5020262040328626,0.4130530422761447,0.2642950380559999,0.3226519196678554,0.4131411510250011,0.2642507956045495,0.3226080533704494,0.4130972751768752,0.2642728271860412,0.3226298976370837
6,0.4939526029567128,0.5060473970432873,0.4322169548460454,0.2490567204486521,0.3187263247053025,0.4323499995546609,0.2489922533364828,0.3186577471088563,0.4322842817745306,0.2490240970343439,0.3186916211911254
7,0.494971085035827,0.5050289149641729,0.4510888429997286,0.2347303119121483,0.3141808450881231,0.4512428480992259,0.2346582643837612,0.3140988875170129,0.4511666200280266,0.2346939258270611,0.3141394541449123
8,0.4916242822191874,0.5083757177808125,0.4695002384179241,0.2212144298730881,0.3092853317089877,0.4696804864142886,0.2211329854980057,0.3091865280877055,0.4695918721224545,0.2211730255304464,0.3092351023470991
9,0.488672011629872,0.5113279883701279,0.4874793484576554,0.2085331687371581,0.3039874828051864,0.487675440068524,0.2084475660273083,0.3038769939041676,0.4875796155865771,0.2084893976757316,0.3039309867376913
10,0.4856859723555799,0.5143140276444201,0.5049467684120771,0.1966363186926071,0.2984169128953158,0.5051588863731441,0.1965468047643541,0.2982943088625018,0.5050558636549691,0.196590280423637,0.2983538559213938
11,0.4818081659253543,0.5181918340746456,0.5217791290992366,0.1854561295141155,0.2927647413866478,0.5220277020242248,0.1853546258418095,0.2926176721339656,0.5219079375591376,0.1854035311399979,0.2926885313008645
12,0.4789852727904825,0.5210147272095176,0.538174275567322,0.1750667564214824,0.2867589680111956,0.5384331331929086,0.1749645593695652,0.2866023074375261,0.5383091442025031,0.1750135102523561,0.2866773455451407
13,0.473525467023771,0.526474532976229,0.553699292619554,0.1652643343747447,0.2810363730057013,0.5540285752150345,0.1651383885700502,0.2808330362149154,0.5538726515202268,0.1651980271160378,0.2809293213637354
14,0.468417766368071,0.531582233631929,0.5686848659424496,0.1561653570619161,0.2751497769956342,0.569073419833158,0.1560214041501889,0.2749051760166533,0.5688914142875587,0.1560888342515623,0.275019751460879
15,0.4698199019805422,0.5301800980194578,0.5833636326198155,0.147810662142994,0.2688257052371905,0.5837543308529644,0.1476706977211409,0.2685749714258947,0.5835707730473625,0.1477364557920967,0.2686927711605409
16,0.4712712925686793,0.5287287074313207,0.5974660451522292,0.1400611369964133,0.2624728178513575,0.597856617905147,0.1399258018400855,0.2622175802547674,0.5976725521790374,0.1399895814141381,0.2623378664068245
17,0.4702062667920886,0.5297937332079115,0.6107129807963197,0.13280036687403,0.2564866523296502,0.6111549762380273,0.1326515373298491,0.2561934864321236,0.6109471472114428,0.1327215179142068,0.2563313348743503
18,0.4708145318528997,0.5291854681471004,0.6235742940206377,0.1261395310861126,0.2502861748932496,0.6240295976952313,0.1259909516107928,0.2499794506939758,0.6238152341088267,0.1260609049869084,0.2501238609042649
19,0.4657380003498849,0.5342619996501152,0.635696071221095,0.1199398581106292,0.2443640706682757,0.6361957372040856,0.1197813091449111,0.2440229536510033,0.6359630237683247,0.1198551514231622,0.2441818248085131
20,0.4622617866276096,0.5377382133723904,0.6474410382099337,0.1142645082240666,0.2382944535659995,0.6479500990339346,0.1141078622561666,0.2379420387098988,0.6477147796679299,0.1141802737011561,0.238104946630914
21,0.4636238289445367,0.5363761710554633,0.6587255953402624,0.1090511255992741,0.2322232790604633,0.6592280219556417,0.1089013988797611,0.2318705791645971,0.6589950850044559,0.108970815754757,0.2320340992407869
22,0.4602664339204226,0.5397335660795775,0.6694157897523467,0.1042331066960031,0.2263511035516502,0.6699230399638408,0.1040863351968232,0.2259906248393359,0.6696895697178911,0.1041538891913519,0.226156541090757
23,0.4606326629341971,0.5393673370658029,0.6795597601299825,0.0997916219776751,0.2206486178923424,0.6800770482844113,0.0996460144440113,0.2202769372715773,0.6798387684643323,0.0997130860299861,0.2204481455056814
24,0.4573748135372592,0.5426251864627408,0.6892555846160849,0.0957173843968282,0.2150270309870868,0.6897734383427706,0.0955757357009612,0.2146508259562681,0.6895365850910882,0.0956405222468212,0.2148228926620906
25,0.4537217247935317,0.5462782752064683,0.6984325617327196,0.0919654473233526,0.2096019909439277,0.6989574404977476,0.0918255902003041,0.2092169693019483,0.6987192915991716,0.0918890464153983,0.20939166198543
26,0.4549676563641494,0.5450323436358506,0.7072323479347774,0.0885363677233821,0.2042312843418405,0.7077486190678471,0.0884027788396611,0.2038486020924916,0.707513732400386,0.0884635574610039,0.20402271013861
27,0.4514031738343029,0.548596826165697,0.7155167503167266,0.0853758135222488,0.1991074361610245,0.7160367156679368,0.0852445456666471,0.1987187386654161,0.7158020016581166,0.0853038003932881,0.1988941979485952
28,0.4520903763912235,0.5479096236087765,0.7233965083295547,0.0824807426911792,0.194122748979266,0.723915928326651,0.0823528441052824,0.1937312275680666,0.7236811035446586,0.0824106658251204,0.193908230630221
29,0.4531181477308986,0.5468818522691014,0.730902313097402,0.0798326433095714,0.1892650435930266,0.7314148383604155,0.0797097109406037,0.1888754506989807,0.7311826038625735,0.0797654138279265,0.1890519823094999
30,0.4499464587016415,0.5500535412983585,0.7380055855520418,0.0774039049856684,0.1845905094622899,0.738513124627754,0.0772850921380111,0.1842017832342349,0.7382847592179845,0.0773385515580627,0.1843766892239527
31,0.4500108692431329,0.5499891307568672,0.7446650571576211,0.0751674638064567,0.1801674790359222,0.7451797500752304,0.0750490982804492,0.1797711516443204,0.7449481326679838,0.0751023640536962,0.17994950327832
32,0.4499611144801672,0.5500388855198328,0.7509644037452095,0.0731190953892577,0.1759165008655329,0.7514866298755885,0.0730009645195028,0.1755124056049087,0.7512516484239524,0.0730541188173122,0.1756942327587353
33,0.4474869163961443,0.5525130836038558,0.7570672483802701,0.0712670795403417,0.171665672079388,0.7575718910297252,0.0711561155749605,0.1712719933953141,0.7573460700466387,0.0712057704976601,0.1714481594557012
34,0.4447583751426818,0.5552416248573182,0.7628221846966432,0.0695684129575059,0.1676094023458508,0.7633137064751124,0.0694630026365384,0.1672232908883492,0.7630950980475733,0.0695098847596152,0.1673950171928116
35,0.4415084496896185,0.5584915503103816,0.7682242437204172,0.0680073082629554,0.1637684480166274,0.7687106570982727,0.067904917803699,0.1633844250980283,0.7684959014819073,0.0679501240566283,0.1635539744614643
36,0.4387592151890841,0.561240784810916,0.7733745476144036,0.0665857158855854,0.1600397365000109,0.773848814221944,0.0664881206401532,0.1596630651379026,0.7736407253774291,0.0665309414534452,0.1598283331691254
37,0.4360773245491821,0.563922675450818,0.7782504538900361,0.0652862338832189,0.1564633122267449,0.7787121561441994,0.0651933050925124,0.156094538763288,0.7785108182604656,0.0652338292309373,0.156255352508597
38,0.4317484027177717,0.5682515972822284,0.7827306746698348,0.0640781810983334,0.1531911442318315,0.7832030003457884,0.0639832015436616,0.15281379811055,0.7829990744896329,0.064024208814682,0.1529767166956851
39,0.4334639397982619,0.5665360602017381,0.7871220831827538,0.062997751269108,0.149880165548138,0.7875767830768081,0.0629086244271393,0.1495145924960526,0.7873796870693055,0.0629472576992008,0.1496730552314936
40,0.4290403744480156,0.5709596255519844,0.7911138524202904,0.0619859918304924,0.1469001557492171,0.7915796493137182,0.0618944142112272,0.1465259364750547,0.7913798036401452,0.0619337047072878,0.146686491652567
41,0.425929493178965,0.5740705068210351,0.7949839567670964,0.0610761929611607,0.1439398502717428,0.7954427339442086,0.0609872399499438,0.1435700261058475,0.7952473272136793,0.0610251276609281,0.1437275451253926
42,0.4253486259428558,0.5746513740571443,0.7985371590039525,0.0602292985401366,0.1412335424559108,0.7990073782551587,0.0601376447279857,0.1408549770168556,0.7988073711427663,0.0601766295510465,0.1410159993061872
43,0.4269368174059491,0.573063182594051,0.8020483550297717,0.0594783381488098,0.1384733068214184,0.8025019338641528,0.0593919081104435,0.1381061580254036,0.8023082843601594,0.0594288082759519,0.1382629073638887
44,0.427631815067131,0.5723681849328691,0.8053064134809246,0.0587828903952292,0.1359106961238463,0.8057547150792725,0.0586982258093826,0.1355470591113447,0.8055630070530736,0.0587344310799001,0.1357025618670263
45,0.4246144004212326,0.5753855995787673,0.8084043505775407,0.0581501829506558,0.1334454664718034,0.8088439838898354,0.0580681515371887,0.1330878645729757,0.8086573092545303,0.0581029832566338,0.1332397074888359
