scenario_id,stage_id,candidate_strategy_id,expected_security_gain,expected_qos_impact,expected_controller_cost,llm_selected
sen4_edge2_clouddb,8,D3_isolate_edge2_gw_for_sen4,0.0,0.0,0.0,False
sen4_edge2_clouddb,8,D4_isolate_edge2_vm_s4,0.0,0.0,0.0,True
sen4_edge2_clouddb,17,D4_isolate_edge2_vm_s4,0.0,0.0,0.0,True
sen4_edge2_clouddb,17,D3_isolate_edge2_gw_for_sen4,0.0,0.0,0.0,False
sen4_edge2_clouddb,17,D0_observe,0.0,0.0,0.0,False
sen4_edge2_clouddb,23,D1_quarantine_sen4,0.75,0.32,0.2,True
sen4_edge2_clouddb,23,D2_rate_limit_sen4,0.55,0.18,0.13,False
sen4_edge2_clouddb,23,D0_observe,0.05,0.0,0.02,False
sen4_edge2_clouddb,24,D1_quarantine_sen4,0.75,0.32,0.2,False
sen4_edge2_clouddb,24,D2_rate_limit_sen4,0.55,0.18,0.13,False
sen4_edge2_clouddb,24,D3_isolate_edge2_gw_for_sen4,0.82,0.64,0.42,True
sen4_edge2_clouddb,24,D4_isolate_edge2_vm_s4,0.74,0.42,0.32,False
sen4_edge2_clouddb,25,D1_quarantine_sen4,0.75,0.32,0.2,False
sen4_edge2_clouddb,25,D2_rate_limit_sen4,0.55,0.18,0.13,False
sen4_edge2_clouddb,25,D3_isolate_edge2_gw_for_sen4,0.82,0.64,0.42,False
sen4_edge2_clouddb,25,D4_isolate_edge2_vm_s4,0.74,0.42,0.32,True
