method,scenario_id,stage_id,llm_latency_ms,method_label
baseline_game,sen4_edge2_clouddb,1,,Baseline game
baseline_game,sen4_edge2_clouddb,2,,Baseline game
baseline_game,sen4_edge2_clouddb,3,,Baseline game
baseline_game,sen4_edge2_clouddb,4,,Baseline game
baseline_game,sen4_edge2_clouddb,5,,Baseline game
baseline_game,sen4_edge2_clouddb,6,,Baseline game
baseline_game,sen4_edge2_clouddb,7,,Baseline game
baseline_game,sen4_edge2_clouddb,8,,Baseline game
baseline_game,sen4_edge2_clouddb,9,,Baseline game
baseline_game,sen4_edge2_clouddb,10,,Baseline game
baseline_game,sen4_edge2_clouddb,11,,Baseline game
baseline_game,sen4_edge2_clouddb,12,,Baseline game
baseline_game,sen4_edge2_clouddb,13,,Baseline game
baseline_game,sen4_edge2_clouddb,14,,Baseline game
baseline_game,sen4_edge2_clouddb,15,,Baseline game
baseline_game,sen4_edge2_clouddb,16,,Baseline game
baseline_game,sen4_edge2_clouddb,17,,Baseline game
baseline_game,sen4_edge2_clouddb,18,,Baseline game
baseline_game,sen4_edge2_clouddb,19,,Baseline game
baseline_game,sen4_edge2_clouddb,20,,Baseline game
baseline_game,sen4_edge2_clouddb,21,,Baseline game
baseline_game,sen4_edge2_clouddb,22,,Baseline game
baseline_game,sen4_edge2_clouddb,23,,Baseline game
baseline_game,sen4_edge2_clouddb,24,,Baseline game
baseline_game,sen4_edge2_clouddb,25,,Baseline game
baseline_game,sen4_edge2_clouddb,26,,Baseline game
baseline_game,sen4_edge2_clouddb,27,,Baseline game
baseline_game,sen4_edge2_clouddb,28,,Baseline game
baseline_game,sen4_edge2_clouddb,29,,Baseline game
baseline_game,sen4_edge2_clouddb,30,,Baseline game
baseline_game,sen4_edge2_clouddb,31,,Baseline game
baseline_game,sen4_edge2_clouddb,32,,Baseline game
baseline_game,sen4_edge2_clouddb,33,,Baseline game
baseline_game,sen4_edge2_clouddb,34,,Baseline game
baseline_game,sen4_edge2_clouddb,35,,Baseline game
baseline_game,sen4_edge2_clouddb,36,,Baseline game
baseline_game,sen4_edge2_clouddb,37,,Baseline game
baseline_game,sen4_edge2_clouddb,38,,Baseline game
baseline_game,sen4_edge2_clouddb,39,,Baseline game
baseline_game,sen4_edge2_clouddb,40,,Baseline game
baseline_game,sen4_edge2_clouddb,41,,Baseline game
baseline_game,sen4_edge2_clouddb,42,,Baseline game
baseline_game,sen4_edge2_clouddb,43,,Baseline game
baseline_game,sen4_edge2_clouddb,44,,Baseline game
baseline_game,sen4_edge2_clouddb,45,,Baseline game
baseline_game,sen4_edge2_clouddb,46,,Baseline game
baseline_game,sen4_edge2_clouddb,47,,Baseline game
llm_defender,sen4_edge2_clouddb,8,115349.1507130675,LLM defender
llm_defender,sen4_edge2_clouddb,17,111940.18621998839,LLM defender
llm_defender,sen4_edge2_clouddb,23,301774.7029210441,LLM defender
llm_defender,sen4_edge2_clouddb,24,312763.79054103745,LLM defender
llm_defender,sen4_edge2_clouddb,25,315596.25931695336,LLM defender
