method,scenario_id,stage_id,metric_value,method_label,metric_name,metric_label
baseline_game,sen4_edge2_clouddb,1,0.0,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,2,3.4451755029203923,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,3,-1.033060023069993,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,4,-0.15606057363402215,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,5,0.049814409472674015,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,6,-0.08967971545098408,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,7,0.46021953466515697,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,8,1.8616926376016636,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,9,0.0,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,13,0.0,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,15,-0.2466048791866342,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,17,0.23256760452750314,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,19,0.0,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,21,-0.5149973161333037,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,24,0.9512827541293518,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,25,-0.09757039813666779,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,28,0.7656878152884019,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,32,-0.7698722450168134,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,41,-0.10218429833912523,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,42,-0.4184664138028893,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,43,0.03504963067462086,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,46,0.13773316485821852,Baseline game,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,8,-11.522925865347133,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,17,-43.543237125268206,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,23,-29.34511111111127,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,24,0.0,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,25,-185.84,LLM defender,throughput_delta_bps,Throughput delta
