method,scenario_id,stage_id,path_stage,attack_effect_success,defense_success,defender_selected,defender_strategy_id,final_defender_strategy_id,method_label
llm_defender,sen4_edge2_clouddb,1,3.0,False,True,D3_isolate_edge2_gw_for_sen4,D3_isolate_edge2_gw_for_sen4,D3_isolate_edge2_gw_for_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,2,3.0,False,True,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,LLM defender
llm_defender,sen4_edge2_clouddb,3,3.0,False,True,D1_quarantine_sen4,D1_quarantine_sen4,D1_quarantine_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,4,3.0,False,True,D1_quarantine_sen4,D1_quarantine_sen4,D1_quarantine_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,5,3.0,False,True,D2_rate_limit_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,6,3.0,False,True,D2_rate_limit_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,7,3.0,False,True,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,LLM defender
llm_defender,sen4_edge2_clouddb,8,3.0,False,True,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,LLM defender
llm_defender,sen4_edge2_clouddb,9,0.0,False,True,D0_observe,D0_observe,D0_observe,LLM defender
llm_defender,sen4_edge2_clouddb,10,0.0,False,True,D0_observe,D0_observe,D0_observe,LLM defender
llm_defender,sen4_edge2_clouddb,11,0.0,False,True,D0_observe,D0_observe,D0_observe,LLM defender
llm_defender,sen4_edge2_clouddb,12,0.0,False,True,D2_rate_limit_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,13,0.0,False,True,D2_rate_limit_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,14,0.0,False,True,D0_observe,D0_observe,D0_observe,LLM defender
llm_defender,sen4_edge2_clouddb,15,0.0,False,True,D0_observe,D0_observe,D0_observe,LLM defender
llm_defender,sen4_edge2_clouddb,16,0.0,False,True,D0_observe,D0_observe,D0_observe,LLM defender
llm_defender,sen4_edge2_clouddb,17,2.0,True,False,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,LLM defender
llm_defender,sen4_edge2_clouddb,18,2.0,True,False,D3_isolate_edge2_gw_for_sen4,D3_isolate_edge2_gw_for_sen4,D3_isolate_edge2_gw_for_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,19,2.0,True,False,D1_quarantine_sen4,D1_quarantine_sen4,D1_quarantine_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,20,2.0,True,False,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,LLM defender
llm_defender,sen4_edge2_clouddb,21,2.0,True,False,D1_quarantine_sen4,D1_quarantine_sen4,D1_quarantine_sen4,LLM defender
llm_defender,sen4_edge2_clouddb,22,0.0,False,True,D2_rate_limit_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,LLM defender
