method,scenario_id,stage_id,llm_latency_ms,method_label
baseline_game,sen4_edge2_clouddb,1,,Baseline game
baseline_game,sen4_edge2_clouddb,2,,Baseline game
baseline_game,sen4_edge2_clouddb,3,,Baseline game
baseline_game,sen4_edge2_clouddb,4,,Baseline game
baseline_game,sen4_edge2_clouddb,5,,Baseline game
baseline_game,sen4_edge2_clouddb,6,,Baseline game
baseline_game,sen4_edge2_clouddb,7,,Baseline game
baseline_game,sen4_edge2_clouddb,8,,Baseline game
baseline_game,sen4_edge2_clouddb,9,,Baseline game
baseline_game,sen4_edge2_clouddb,10,,Baseline game
baseline_game,sen4_edge2_clouddb,11,,Baseline game
baseline_game,sen4_edge2_clouddb,12,,Baseline game
baseline_game,sen4_edge2_clouddb,13,,Baseline game
baseline_game,sen4_edge2_clouddb,14,,Baseline game
baseline_game,sen4_edge2_clouddb,15,,Baseline game
baseline_game,sen4_edge2_clouddb,16,,Baseline game
baseline_game,sen4_edge2_clouddb,17,,Baseline game
baseline_game,sen4_edge2_clouddb,18,,Baseline game
baseline_game,sen4_edge2_clouddb,19,,Baseline game
baseline_game,sen4_edge2_clouddb,20,,Baseline game
baseline_game,sen4_edge2_clouddb,21,,Baseline game
baseline_game,sen4_edge2_clouddb,22,,Baseline game
baseline_game,sen4_edge2_clouddb,23,,Baseline game
baseline_game,sen4_edge2_clouddb,24,,Baseline game
baseline_game,sen4_edge2_clouddb,25,,Baseline game
baseline_game,sen4_edge2_clouddb,26,,Baseline game
baseline_game,sen4_edge2_clouddb,27,,Baseline game
baseline_game,sen4_edge2_clouddb,28,,Baseline game
baseline_game,sen4_edge2_clouddb,29,,Baseline game
baseline_game,sen4_edge2_clouddb,30,,Baseline game
baseline_game,sen4_edge2_clouddb,31,,Baseline game
baseline_game,sen4_edge2_clouddb,32,,Baseline game
baseline_game,sen4_edge2_clouddb,33,,Baseline game
baseline_game,sen4_edge2_clouddb,34,,Baseline game
baseline_game,sen4_edge2_clouddb,35,,Baseline game
baseline_game,sen4_edge2_clouddb,36,,Baseline game
baseline_game,sen4_edge2_clouddb,37,,Baseline game
baseline_game,sen4_edge2_clouddb,38,,Baseline game
baseline_game,sen4_edge2_clouddb,39,,Baseline game
baseline_game,sen4_edge2_clouddb,40,,Baseline game
baseline_game,sen4_edge2_clouddb,41,,Baseline game
llm_defender,sen4_edge2_clouddb,1,237918.3785119094,LLM defender
llm_defender,sen4_edge2_clouddb,2,349178.42056788504,LLM defender
llm_defender,sen4_edge2_clouddb,3,211725.67579708993,LLM defender
llm_defender,sen4_edge2_clouddb,4,351614.7363439668,LLM defender
llm_defender,sen4_edge2_clouddb,5,93925.65185506828,LLM defender
llm_defender,sen4_edge2_clouddb,6,88719.65328301303,LLM defender
llm_defender,sen4_edge2_clouddb,7,105788.82048791274,LLM defender
llm_defender,sen4_edge2_clouddb,8,115349.1507130675,LLM defender
llm_defender,sen4_edge2_clouddb,9,52907.93182899961,LLM defender
llm_defender,sen4_edge2_clouddb,10,87850.359819,LLM defender
llm_defender,sen4_edge2_clouddb,11,91393.08410300873,LLM defender
llm_defender,sen4_edge2_clouddb,12,116278.19061599439,LLM defender
llm_defender,sen4_edge2_clouddb,13,118245.53689797176,LLM defender
llm_defender,sen4_edge2_clouddb,14,85825.69349100231,LLM defender
llm_defender,sen4_edge2_clouddb,15,70847.16300698346,LLM defender
llm_defender,sen4_edge2_clouddb,16,79544.92030999972,LLM defender
llm_defender,sen4_edge2_clouddb,17,111940.18621998839,LLM defender
llm_defender,sen4_edge2_clouddb,18,101303.44804300694,LLM defender
llm_defender,sen4_edge2_clouddb,19,300270.82292200066,LLM defender
llm_defender,sen4_edge2_clouddb,20,303690.13223898946,LLM defender
llm_defender,sen4_edge2_clouddb,21,298014.19926900417,LLM defender
llm_defender,sen4_edge2_clouddb,22,304328.20424996316,LLM defender
