method,scenario_id,stage_id,recorded_at,role,strategy_id,population_share
baseline_game,sen4_edge2_clouddb,1,2026-06-22T04:28:38.383320+00:00,attacker,A1_sensor_probe_sen4,0.3365084933370316
baseline_game,sen4_edge2_clouddb,1,2026-06-22T04:28:38.383320+00:00,attacker,A2_sensor_http_abuse_sen4,0.3317202080818257
baseline_game,sen4_edge2_clouddb,1,2026-06-22T04:28:38.383320+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.3317712985811428
baseline_game,sen4_edge2_clouddb,1,2026-06-22T04:28:38.383320+00:00,defender,D0_observe,0.37816588105112137
baseline_game,sen4_edge2_clouddb,1,2026-06-22T04:28:38.383320+00:00,defender,D1_quarantine_sen4,0.3717456898839066
baseline_game,sen4_edge2_clouddb,1,2026-06-22T04:28:38.383320+00:00,defender,D2_rate_limit_sen4,0.2500884290649721
baseline_game,sen4_edge2_clouddb,2,2026-06-23T00:15:00.081790+00:00,attacker,A1_sensor_probe_sen4,0.3379200365790833
baseline_game,sen4_edge2_clouddb,2,2026-06-23T00:15:00.081790+00:00,attacker,A2_sensor_http_abuse_sen4,0.3311060228291047
baseline_game,sen4_edge2_clouddb,2,2026-06-23T00:15:00.081790+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.33097394059181207
baseline_game,sen4_edge2_clouddb,2,2026-06-23T00:15:00.081790+00:00,defender,D0_observe,0.37972786067728065
baseline_game,sen4_edge2_clouddb,2,2026-06-23T00:15:00.081790+00:00,defender,D1_quarantine_sen4,0.370098696868641
baseline_game,sen4_edge2_clouddb,2,2026-06-23T00:15:00.081790+00:00,defender,D2_rate_limit_sen4,0.2501734424540784
baseline_game,sen4_edge2_clouddb,3,2026-06-23T00:49:00.859019+00:00,attacker,A1_sensor_probe_sen4,0.33933190724044787
baseline_game,sen4_edge2_clouddb,3,2026-06-23T00:49:00.859019+00:00,attacker,A2_sensor_http_abuse_sen4,0.33049258302304596
baseline_game,sen4_edge2_clouddb,3,2026-06-23T00:49:00.859019+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.3301755097365062
baseline_game,sen4_edge2_clouddb,3,2026-06-23T00:49:00.859019+00:00,defender,D0_observe,0.38129106025526094
baseline_game,sen4_edge2_clouddb,3,2026-06-23T00:49:00.859019+00:00,defender,D1_quarantine_sen4,0.36845390174206616
baseline_game,sen4_edge2_clouddb,3,2026-06-23T00:49:00.859019+00:00,defender,D2_rate_limit_sen4,0.25025503800267296
baseline_game,sen4_edge2_clouddb,4,2026-06-23T03:48:11.401614+00:00,attacker,A1_sensor_probe_sen4,0.34074406926284234
baseline_game,sen4_edge2_clouddb,4,2026-06-23T03:48:11.401614+00:00,attacker,A2_sensor_http_abuse_sen4,0.3298798983804312
baseline_game,sen4_edge2_clouddb,4,2026-06-23T03:48:11.401614+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.3293760323567265
baseline_game,sen4_edge2_clouddb,4,2026-06-23T03:48:11.401614+00:00,defender,D0_observe,0.3828554439848797
baseline_game,sen4_edge2_clouddb,4,2026-06-23T03:48:11.401614+00:00,defender,D1_quarantine_sen4,0.36681134224792444
baseline_game,sen4_edge2_clouddb,4,2026-06-23T03:48:11.401614+00:00,defender,D2_rate_limit_sen4,0.2503332137671959
baseline_game,sen4_edge2_clouddb,5,2026-06-23T03:50:07.466746+00:00,attacker,A2_sensor_http_abuse_sen4,0.5031007019577444
baseline_game,sen4_edge2_clouddb,5,2026-06-23T03:50:07.466746+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.4968992980422556
baseline_game,sen4_edge2_clouddb,5,2026-06-23T03:50:07.466746+00:00,defender,D0_observe,0.2684084500372146
baseline_game,sen4_edge2_clouddb,5,2026-06-23T03:50:07.466746+00:00,defender,D1_quarantine_sen4,0.2669232110707091
baseline_game,sen4_edge2_clouddb,5,2026-06-23T03:50:07.466746+00:00,defender,D2_rate_limit_sen4,0.18052587568929335
baseline_game,sen4_edge2_clouddb,5,2026-06-23T03:50:07.466746+00:00,defender,D3_isolate_edge2_gw_for_sen4,0.14146309817282005
baseline_game,sen4_edge2_clouddb,5,2026-06-23T03:50:07.466746+00:00,defender,D4_isolate_edge2_vm_s4,0.1426793650299629
baseline_game,sen4_edge2_clouddb,6,2026-06-23T04:44:43.846792+00:00,attacker,A2_sensor_http_abuse_sen4,0.5058035804930511
baseline_game,sen4_edge2_clouddb,6,2026-06-23T04:44:43.846792+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.494196419506949
baseline_game,sen4_edge2_clouddb,6,2026-06-23T04:44:43.846792+00:00,defender,D0_observe,0.2633843324130106
baseline_game,sen4_edge2_clouddb,6,2026-06-23T04:44:43.846792+00:00,defender,D1_quarantine_sen4,0.2718728372300409
baseline_game,sen4_edge2_clouddb,6,2026-06-23T04:44:43.846792+00:00,defender,D2_rate_limit_sen4,0.18221977405932854
baseline_game,sen4_edge2_clouddb,6,2026-06-23T04:44:43.846792+00:00,defender,D3_isolate_edge2_gw_for_sen4,0.14005208386676113
baseline_game,sen4_edge2_clouddb,6,2026-06-23T04:44:43.846792+00:00,defender,D4_isolate_edge2_vm_s4,0.14247097243085877
baseline_game,sen4_edge2_clouddb,7,2026-06-24T00:21:00.073468+00:00,attacker,A1_sensor_probe_sen4,0.25119820921195996
baseline_game,sen4_edge2_clouddb,7,2026-06-24T00:21:00.073468+00:00,attacker,A2_sensor_http_abuse_sen4,0.37884091737084874
baseline_game,sen4_edge2_clouddb,7,2026-06-24T00:21:00.073468+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.36996087341719125
baseline_game,sen4_edge2_clouddb,7,2026-06-24T00:21:00.073468+00:00,defender,D0_observe,0.36864221873989333
baseline_game,sen4_edge2_clouddb,7,2026-06-24T00:21:00.073468+00:00,defender,D1_quarantine_sen4,0.37727908650349307
baseline_game,sen4_edge2_clouddb,7,2026-06-24T00:21:00.073468+00:00,defender,D2_rate_limit_sen4,0.2540786947566135
baseline_game,sen4_edge2_clouddb,8,2026-06-24T00:21:10.399302+00:00,attacker,A2_sensor_http_abuse_sen4,0.50893348469227
baseline_game,sen4_edge2_clouddb,8,2026-06-24T00:21:10.399302+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.49106651530773
baseline_game,sen4_edge2_clouddb,8,2026-06-24T00:21:10.399302+00:00,defender,D0_observe,0.32435796428786917
baseline_game,sen4_edge2_clouddb,8,2026-06-24T00:21:10.399302+00:00,defender,D2_rate_limit_sen4,0.22991622911152268
baseline_game,sen4_edge2_clouddb,8,2026-06-24T00:21:10.399302+00:00,defender,D3_isolate_edge2_gw_for_sen4,0.22191499764787825
baseline_game,sen4_edge2_clouddb,8,2026-06-24T00:21:10.399302+00:00,defender,D4_isolate_edge2_vm_s4,0.22381080895272987
baseline_game,sen4_edge2_clouddb,9,2026-06-24T03:22:38.365062+00:00,attacker,A1_sensor_probe_sen4,0.25119809267828813
baseline_game,sen4_edge2_clouddb,9,2026-06-24T03:22:38.365062+00:00,attacker,A2_sensor_http_abuse_sen4,0.3811845154469155
baseline_game,sen4_edge2_clouddb,9,2026-06-24T03:22:38.365062+00:00,attacker,A6_sen4_edge_to_cloud_probe,0.3676173918747963
baseline_game,sen4_edge2_clouddb,9,2026-06-24T03:22:38.365062+00:00,defender,D0_observe,0.3657074030132553
baseline_game,sen4_edge2_clouddb,9,2026-06-24T03:22:38.365062+00:00,defender,D1_quarantine_sen4,0.37519968698593287
baseline_game,sen4_edge2_clouddb,9,2026-06-24T03:22:38.365062+00:00,defender,D2_rate_limit_sen4,0.2590929100008118
