method,scenario_id,stage_id,metric_value,method_label,metric_name,metric_label
baseline_game,sen4_edge2_clouddb,1,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,2,0.26300000000000034,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,3,-1.2570000000000001,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,4,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,5,-1.2469999999999999,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,6,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,7,0.1369999999999999,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,8,-2.366,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,9,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,13,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,15,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,17,-2.543,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,19,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,21,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,24,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,25,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,28,-1.4799999999999995,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,32,0.0,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
baseline_game,sen4_edge2_clouddb,41,-2.413,Baseline game,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,1,0.729,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,2,-0.152,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,3,-2.633,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,4,-2.64,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,5,-2.6981818181818182,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,6,0.328,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,7,0.07600000000000007,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,8,-1.03,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,17,-1.293,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,18,-1.2639999999999998,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,19,0.01,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,20,0.113,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
llm_defender,sen4_edge2_clouddb,21,0.153,LLM defender,edge_to_cloud_latency_delta_ms,Edge-to-cloud latency delta
