method,scenario_id,stage_id,metric_value,method_label,metric_name,metric_label
baseline_game,sen4_edge2_clouddb,1,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,2,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,3,-0.07654545454545492,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,4,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,5,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,6,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,7,-0.23563636363636387,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,8,-0.13809090909090904,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,9,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,13,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,15,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,17,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,19,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,21,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,24,0.07581818181818156,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,25,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,28,0.0,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,32,-0.5173636363636365,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
baseline_game,sen4_edge2_clouddb,41,-0.11872727272727213,Baseline game,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,1,-0.723,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,2,0.073,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,3,0.141,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,4,-1.07,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,5,-0.9454545454545455,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,6,-1.545,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,7,1.3289,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,8,-0.9735454545454548,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,17,-0.8159090909090909,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,18,1.092,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,19,-1.87,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,20,-0.577,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
llm_defender,sen4_edge2_clouddb,21,-1.289,LLM defender,sensor_to_edge_latency_delta_ms,Sensor-to-edge latency delta
