method,scenario_id,stage_id,metric_value,method_label,metric_name,metric_label
baseline_game,sen4_edge2_clouddb,1,0.0,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,2,3.4451755029203923,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,3,-1.033060023069993,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,4,-0.15606057363402215,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,5,0.049814409472674015,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,6,-0.08967971545098408,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,7,0.46021953466515697,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,8,1.8616926376016636,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,9,0.0,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,13,0.0,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,15,-0.2466048791866342,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,17,0.23256760452750314,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,19,0.0,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,21,-0.5149973161333037,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,24,0.9512827541293518,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,25,-0.09757039813666779,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,28,0.7656878152884019,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,32,-0.7698722450168134,Baseline game,throughput_delta_bps,Throughput delta
baseline_game,sen4_edge2_clouddb,41,-0.10218429833912523,Baseline game,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,1,100.16,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,2,4.089677073161511,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,3,133.45,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,4,39.81,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,5,237.131413646284,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,6,-16.230014646509517,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,7,-0.4311,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,8,-11.522925865347133,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,17,-43.543237125268206,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,18,-182.53,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,19,1.8132546055439889,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,20,-12.83,LLM defender,throughput_delta_bps,Throughput delta
llm_defender,sen4_edge2_clouddb,21,-14.11,LLM defender,throughput_delta_bps,Throughput delta
