method,scenario_id,stage_id,path_stage,attack_effect_success,defense_success,defense_confirmed,defender_strategy_id,final_defender_strategy_id,defender_action
baseline_game,sen4_edge2_clouddb,1,0.0,False,False,False,D0_observe,D0_observe,observe
llm_defender,sen4_edge2_clouddb,1,3.0,False,True,False,D3_isolate_edge2_gw_for_sen4,D3_isolate_edge2_gw_for_sen4,isolate_sensor
llm_defender,sen4_edge2_clouddb,2,3.0,False,True,False,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,isolate_sensor
baseline_game,sen4_edge2_clouddb,2,0.0,False,False,False,D0_observe,D0_observe,observe
baseline_game,sen4_edge2_clouddb,3,0.0,False,False,False,D0_observe,D0_observe,observe
llm_defender,sen4_edge2_clouddb,3,3.0,False,True,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,4,3.0,False,True,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,4,3.0,False,False,False,D0_observe,D0_observe,observe
baseline_game,sen4_edge2_clouddb,5,3.0,False,False,False,D0_observe,D0_observe,observe
llm_defender,sen4_edge2_clouddb,5,3.0,False,True,False,D2_rate_limit_sen4,D2_rate_limit_sen4,rate_limit
llm_defender,sen4_edge2_clouddb,6,3.0,False,True,False,D2_rate_limit_sen4,D2_rate_limit_sen4,rate_limit
baseline_game,sen4_edge2_clouddb,6,3.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,7,3.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,7,3.0,False,True,False,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,isolate_sensor
llm_defender,sen4_edge2_clouddb,8,3.0,False,True,True,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,isolate_sensor
baseline_game,sen4_edge2_clouddb,8,3.0,False,False,False,D0_observe,D0_observe,observe
baseline_game,sen4_edge2_clouddb,9,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,9,0.0,False,True,False,D0_observe,D0_observe,observe
