scenario_id,stage_id,candidate_strategy_id,baseline_utility_prior,llm_rank_rank,llm_selected,expected_security_gain,expected_qos_impact,expected_controller_cost
sen4_edge2_clouddb,1,D1_quarantine_sen4,,1,False,,,
sen4_edge2_clouddb,1,D3_isolate_edge2_gw_for_sen4,,2,True,,,
sen4_edge2_clouddb,1,D4_isolate_edge2_vm_s4,,3,False,,,
sen4_edge2_clouddb,2,D4_isolate_edge2_vm_s4,,1,True,,,
sen4_edge2_clouddb,2,D1_quarantine_sen4,,2,False,,,
sen4_edge2_clouddb,2,D3_isolate_edge2_gw_for_sen4,,3,False,,,
sen4_edge2_clouddb,3,D1_quarantine_sen4,,1,True,,,
sen4_edge2_clouddb,3,D4_isolate_edge2_vm_s4,,2,False,,,
sen4_edge2_clouddb,4,D1_quarantine_sen4,,1,True,,,
sen4_edge2_clouddb,4,D4_isolate_edge2_vm_s4,,2,False,,,
sen4_edge2_clouddb,5,D2_rate_limit_sen4,,1,True,,,
sen4_edge2_clouddb,6,D2_rate_limit_sen4,,1,True,,,
sen4_edge2_clouddb,7,D4_isolate_edge2_vm_s4,,1,True,,,
sen4_edge2_clouddb,7,D3_isolate_edge2_gw_for_sen4,,2,False,,,
sen4_edge2_clouddb,7,D2_rate_limit_sen4,,3,False,,,
sen4_edge2_clouddb,8,D3_isolate_edge2_gw_for_sen4,,1,False,,,
sen4_edge2_clouddb,8,D4_isolate_edge2_vm_s4,,2,True,,,
sen4_edge2_clouddb,9,D1_quarantine_sen4,,1,False,,,
sen4_edge2_clouddb,9,D2_rate_limit_sen4,,2,False,,,
sen4_edge2_clouddb,9,D0_observe,,3,True,,,
sen4_edge2_clouddb,10,D0_observe,,1,True,,,
sen4_edge2_clouddb,11,D0_observe,,1,True,,,
sen4_edge2_clouddb,12,D2_rate_limit_sen4,,1,True,,,
sen4_edge2_clouddb,12,D1_quarantine_sen4,,2,False,,,
sen4_edge2_clouddb,12,D0_observe,,3,False,,,
sen4_edge2_clouddb,13,D2_rate_limit_sen4,,1,True,,,
sen4_edge2_clouddb,13,D0_observe,,2,False,,,
sen4_edge2_clouddb,13,D1_quarantine_sen4,,3,False,,,
sen4_edge2_clouddb,14,D0_observe,,1,True,0.26,,
sen4_edge2_clouddb,15,D0_observe,,1,True,,,
sen4_edge2_clouddb,16,D0_observe,,1,True,,,
sen4_edge2_clouddb,17,D4_isolate_edge2_vm_s4,,1,True,,,
sen4_edge2_clouddb,17,D3_isolate_edge2_gw_for_sen4,,2,False,,,
sen4_edge2_clouddb,17,D0_observe,,3,False,,,
sen4_edge2_clouddb,18,D3_isolate_edge2_gw_for_sen4,,1,True,,,
sen4_edge2_clouddb,19,D1_quarantine_sen4,,1,True,,,
sen4_edge2_clouddb,19,D2_rate_limit_sen4,,2,False,,,
sen4_edge2_clouddb,19,D0_observe,,3,False,,,
sen4_edge2_clouddb,20,D4_isolate_edge2_vm_s4,,1,True,,,
sen4_edge2_clouddb,20,D3_isolate_edge2_gw_for_sen4,,2,False,,,
sen4_edge2_clouddb,20,D0_observe,,3,False,,,
sen4_edge2_clouddb,21,D1_quarantine_sen4,,1,True,,,
sen4_edge2_clouddb,21,D2_rate_limit_sen4,,2,False,,,
sen4_edge2_clouddb,21,D3_isolate_edge2_gw_for_sen4,,3,False,,,
sen4_edge2_clouddb,21,D4_isolate_edge2_vm_s4,,4,False,,,
sen4_edge2_clouddb,22,D2_rate_limit_sen4,,1,True,,,
sen4_edge2_clouddb,22,D0_observe,,2,False,,,
sen4_edge2_clouddb,22,D1_quarantine_sen4,,3,False,,,
