episode,active_size,pool_size
1,3,5
2,4,4
3,4,4
4,4,4
5,4,4
6,3,5
7,3,5
8,3,5
9,4,4
10,4,4
11,3,5
12,3,5
13,3,5
14,3,5
15,3,5
16,4,4
17,3,5
18,3,5
19,3,5
20,3,5
21,3,5
22,4,4
23,3,5
24,3,5
25,3,5
26,3,5
27,3,5
28,3,5
29,4,4
30,3,5
31,3,5
32,3,5
33,3,5
34,3,5
35,3,5
36,3,5
37,4,4
38,3,5
39,3,5
40,3,5
41,3,5
42,3,5
43,4,4
44,3,5
45,3,5
46,3,5
47,3,5
48,3,5
49,4,4
50,3,5
51,3,5
52,3,5
53,3,5
54,3,5
55,4,4
56,3,5
57,3,5
58,3,5
59,3,5
60,3,5
61,4,4
62,3,5
63,3,5
64,3,5
65,3,5
66,3,5
67,4,4
68,3,5
69,3,5
70,3,5
71,3,5
72,3,5
73,4,4
74,3,5
75,3,5
76,3,5
77,3,5
78,3,5
79,4,4
80,3,5
81,3,5
82,3,5
83,3,5
84,3,5
85,4,4
86,3,5
87,3,5
88,3,5
89,3,5
90,3,5
91,4,4
92,3,5
93,3,5
94,3,5
95,3,5
96,3,5
97,4,4
98,3,5
99,3,5
100,3,5
101,3,5
102,3,5
103,4,4
104,3,5
105,3,5
106,3,5
107,3,5
108,3,5
109,4,4
110,3,5
111,3,5
112,3,5
113,3,5
114,3,5
115,4,4
116,3,5
117,3,5
118,3,5
119,3,5
120,3,5
121,4,4
122,3,5
123,3,5
124,3,5
125,3,5
126,3,5
127,4,4
128,3,5
129,3,5
130,3,5
131,3,5
132,3,5
133,4,4
134,3,5
135,3,5
136,3,5
137,3,5
138,3,5
139,4,4
140,3,5
141,3,5
142,3,5
143,3,5
144,3,5
145,4,4
146,3,5
147,3,5
148,3,5
149,3,5
150,3,5
151,4,4
152,3,5
153,3,5
154,3,5
155,3,5
156,3,5
157,4,4
158,3,5
159,3,5
160,3,5
161,3,5
162,3,5
163,4,4
164,3,5
165,3,5
166,3,5
167,3,5
168,3,5
169,4,4
170,3,5
171,3,5
172,3,5
173,3,5
174,3,5
175,4,4
176,3,5
177,3,5
178,3,5
179,3,5
180,3,5
181,4,4
182,3,5
183,3,5
184,3,5
185,3,5
186,3,5
187,4,4
188,3,5
189,3,5
190,3,5
191,3,5
192,3,5
193,4,4
194,3,5
195,3,5
196,3,5
197,3,5
198,3,5
199,4,4
200,3,5
201,3,5
202,3,5
203,3,5
204,3,5
205,4,4
206,3,5
207,3,5
208,3,5
209,3,5
210,3,5
211,4,4
212,3,5
213,3,5
214,3,5
215,3,5
216,3,5
217,4,4
218,3,5
219,3,5
220,3,5
221,3,5
222,3,5
223,4,4
224,3,5
225,3,5
226,3,5
227,3,5
228,3,5
229,4,4
230,3,5
231,3,5
232,3,5
233,3,5
234,3,5
235,4,4
236,3,5
237,3,5
238,3,5
239,3,5
240,3,5
241,4,4
242,3,5
243,3,5
244,3,5
245,3,5
246,3,5
247,4,4
248,3,5
249,3,5
250,3,5
251,3,5
252,3,5
253,4,4
254,3,5
255,3,5
256,3,5
257,3,5
258,3,5
259,4,4
260,3,5
261,3,5
262,3,5
263,3,5
264,3,5
265,4,4
266,3,5
267,3,5
268,3,5
269,3,5
270,3,5
271,4,4
272,3,5
273,3,5
274,3,5
275,3,5
276,3,5
277,4,4
278,3,5
279,3,5
280,3,5
281,3,5
282,3,5
283,4,4
284,3,5
285,3,5
286,3,5
287,3,5
288,3,5
289,4,4
290,3,5
291,3,5
292,3,5
293,3,5
294,3,5
295,4,4
296,3,5
297,3,5
298,3,5
299,3,5
300,3,5
301,4,4
302,3,5
303,3,5
304,3,5
305,3,5
306,3,5
307,4,4
308,3,5
309,3,5
310,3,5
311,3,5
312,3,5
313,4,4
314,3,5
315,3,5
316,3,5
317,3,5
318,3,5
319,4,4
320,3,5
321,3,5
322,3,5
323,3,5
324,3,5
325,4,4
326,3,5
327,3,5
328,3,5
329,3,5
330,3,5
331,4,4
332,3,5
333,3,5
334,3,5
335,3,5
336,3,5
337,4,4
338,3,5
339,3,5
340,3,5
341,3,5
342,3,5
343,4,4
344,3,5
345,3,5
346,3,5
347,3,5
348,3,5
349,4,4
350,3,5
351,3,5
352,3,5
353,3,5
354,3,5
355,4,4
356,3,5
357,3,5
358,3,5
359,3,5
360,3,5
361,4,4
362,3,5
363,3,5
364,3,5
365,3,5
366,3,5
367,4,4
368,3,5
369,3,5
370,3,5
371,3,5
372,3,5
373,4,4
374,3,5
375,3,5
376,3,5
377,3,5
378,3,5
379,4,4
380,3,5
381,3,5
382,3,5
383,3,5
384,3,5
385,4,4
386,3,5
387,3,5
388,3,5
389,3,5
390,3,5
391,4,4
392,3,5
393,3,5
394,3,5
395,3,5
396,3,5
397,4,4
398,3,5
399,3,5
400,3,5
401,3,5
402,3,5
403,4,4
404,3,5
405,3,5
406,3,5
407,3,5
408,3,5
409,4,4
410,3,5
411,3,5
412,3,5
413,3,5
414,3,5
415,4,4
416,3,5
417,3,5
418,3,5
419,3,5
420,3,5
421,4,4
422,3,5
423,3,5
424,3,5
425,3,5
426,3,5
427,4,4
428,3,5
429,3,5
430,3,5
431,3,5
432,3,5
433,4,4
434,3,5
435,3,5
436,3,5
437,3,5
438,3,5
439,4,4
440,3,5
441,3,5
442,3,5
443,3,5
444,3,5
445,4,4
446,3,5
447,3,5
448,3,5
449,3,5
450,3,5
451,4,4
452,3,5
453,3,5
454,3,5
455,3,5
456,3,5
457,4,4
458,3,5
459,3,5
460,3,5
461,3,5
462,3,5
463,4,4
464,3,5
465,3,5
466,3,5
467,3,5
468,3,5
469,4,4
470,3,5
471,3,5
472,3,5
473,3,5
474,3,5
475,4,4
476,3,5
477,3,5
478,3,5
479,3,5
480,3,5
481,4,4
482,3,5
483,3,5
484,3,5
485,3,5
486,3,5
487,4,4
488,3,5
489,3,5
490,3,5
491,3,5
492,3,5
493,4,4
494,3,5
495,3,5
496,3,5
497,3,5
498,3,5
499,4,4
500,3,5
