episode,step,path,chosen_path,state,active_keys,pool_keys,promoted_key,demoted_keys,chosen_GA,chosen_GD,xi_total,xi_1,xi_2,xi_3,EA_payoff_mean,EA_payoff_max,ED_payoff_mean,ED_payoff_max,AC_total,AC_T,AC_H,AC_K,AC_R,AC_D,DC_total,DC_ASSC,DC_NC,DC_AIC,llm_latency_s,s_P1,s_P2,g_P1,g_P2,BRpath_P1,BRpath_P2,piPath_P1,piPath_P2,pP1_GA1,pP1_GA2,pP1_GA3,pP2_GA1,pP2_GA2,pP2_GA3,BR_GA1,BR_GA2,BR_GA3,piA_GA1,piA_GA2,piA_GA3,p_GA1,p_GA2,p_GA3,q_GD1,q_GD2,q_GD3,q_GD4,q_GD5,q_GD6,q_GD7,q_GD8,qbar_GD1,qbar_GD2,qbar_GD3,qbar_GD4,qbar_GD5,qbar_GD6,qbar_GD7,qbar_GD8,best_def_key,episode_summary_latency_s
1,1,P2,P2,S1,"[""GD1"", ""GD2"", ""GD3""]","[""GD4"", ""GD5"", ""GD6"", ""GD7"", ""GD8""]",,[],GA2,GD2,0.13333333333333333,0.13333333333333333,0.0,0.0,-15.815616134791348,-12.176070087826881,-5.465684884165718,-4.752428988150355,18.6,5,4,5,4,5,6.510208125210601,1.7600000000000002,4.750208125210601,0.0,3.0274126529693604,0.5,0.5,-16.14467738652929,-15.793394831575256,0.47075985554075317,0.5292401444592468,0.4941519711081507,0.5058480288918494,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7185604456439859,0.06276323111390153,0.21867632324211247,0.4489014670265291,0.2521623026675038,0.29893623030596705,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,GD1,
1,2,P2,P2,S2,"[""GD1"", ""GD2"", ""GD3""]","[""GD4"", ""GD5"", ""GD6"", ""GD7"", ""GD8""]",GD5,[],GA3,GD2,0.4352,0.24,0.128,0.0672,-15.419723823162435,-11.748013948841397,-5.638849671034898,-4.970157636492764,14.900000000000002,6,2,3,3,4,6.510208125210601,1.7600000000000002,4.750208125210601,0.0,1.011035442352295,0.5,0.5,-16.14467738652929,-15.793394831575256,0.47075985554075317,0.5292401444592468,0.4941519711081507,0.5058480288918494,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7187191017125768,0.06274832085819332,0.21853257742922996,0.4489490638471063,0.2521578295907913,0.29889310656210233,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.335,0.3325,0.3325,0.0,0.0,0.0,0.0,0.0,GD1,16.592144012451172
2,1,P1,P1,S1,"[""GD1"", ""GD2"", ""GD3"", ""GD5""]","[""GD4"", ""GD6"", ""GD7"", ""GD8""]",,[],GA2,GD3,3.0373333333333328,0.9333333333333333,0.9999999999999999,1.1039999999999999,-15.440244399088206,-11.785914275986576,-6.97115404267689,-5.998315426146441,18.6,5,4,5,4,5,5.38166002687522,0.8800000000000001,4.5016600268752205,0.0,1.3620226383209229,0.49927773211064924,0.5007222678893508,-16.428997236047625,-14.743279642039028,0.3631065941939593,0.6368934058060407,0.47204350452731125,0.5279564954726887,0.35355484682667665,0.314870454522889,0.3315746986504344,0.3535691604908274,0.3148624595473205,0.33156837996185207,0.7158223319770407,0.06242873613215715,0.22174893189080197,0.46223509237178584,0.23913793900566943,0.2986269686225447,0.35356201399705206,0.31486645126059065,0.33157153474235734,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,GD2,
2,2,P1,P1,S2,"[""GD1"", ""GD2"", ""GD3"", ""GD5""]","[""GD4"", ""GD6"", ""GD7"", ""GD8""]",,[],GA3,GD1,0.9633333333333334,0.48333333333333334,0.3,0.18,-15.430645088306873,-11.77050454458748,-6.383671449172476,-5.409640905132699,14.900000000000002,6,2,3,3,4,6.350208125210601,1.6,4.750208125210601,0.0,1.2220396995544434,0.49927773211064924,0.5007222678893508,-16.428997236047625,-14.743279642039028,0.3631065941939593,0.6368934058060407,0.47204350452731125,0.5279564954726887,0.35355484682667665,0.314870454522889,0.3315746986504344,0.3535691604908274,0.3148624595473205,0.33156837996185207,0.7170719615558299,0.06251348160538138,0.2204145568387888,0.4626099812454226,0.23916336264763668,0.2982266561069407,0.35356201399705206,0.31486645126059065,0.33157153474235734,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,GD2,9.653436183929443
3,1,P1,P1,S1,"[""GD1"", ""GD2"", ""GD3"", ""GD5""]","[""GD4"", ""GD6"", ""GD7"", ""GD8""]",,[],GA1,GD2,0.42293333333333333,0.25333333333333335,0.112,0.05759999999999999,-16.171520086015615,-12.499393222451264,-6.243672380737081,-5.255303743296953,11.299999999999999,2,3,4,2,3,6.510208125210601,1.7600000000000002,4.750208125210601,0.0,1.4181396961212158,0.4958224548150174,0.5041775451849827,-15.71459403294205,-16.27521581284575,0.5465829967372465,0.45341700326275347,0.5059745631994632,0.4940254368005369,0.37358666123009737,0.2971513103256771,0.32926202844422553,0.37363264099595134,0.29712653241106196,0.32924082659298676,0.7183830110974735,0.06288620553418957,0.21873078336833685,0.4770255661903102,0.22687177888823082,0.29610265492145893,0.3736098431955739,0.2971388178575117,0.3292513389469146,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,GD2,
3,2,P1,P1,S2,"[""GD1"", ""GD2"", ""GD3"", ""GD5""]","[""GD4"", ""GD6"", ""GD7"", ""GD8""]",,[],GA1,GD2,1.0078933333333333,0.49333333333333335,0.312,0.20255999999999996,-15.289558878304177,-11.56786817582221,-6.536691335758924,-5.628550129147089,11.299999999999999,2,3,4,2,3,6.510208125210601,1.7600000000000002,4.750208125210601,0.0,0.9587879180908203,0.4958224548150174,0.5041775451849827,-15.71459403294205,-16.27521581284575,0.5465829967372465,0.45341700326275347,0.5059745631994632,0.4940254368005369,0.37358666123009737,0.2971513103256771,0.32926202844422553,0.37363264099595134,0.29712653241106196,0.32924082659298676,0.7167585233337199,0.062442183718280704,0.22079929294799935,0.47653821986118416,0.22673857234345818,0.29672320779535766,0.3736098431955739,0.2971388178575117,0.3292513389469146,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,GD2,8.729236364364624
4,1,P2,P2,S1,"[""GD1"", ""GD2"", ""GD3"", ""GD5""]","[""GD4"", ""GD6"", ""GD7"", ""GD8""]",,[],GA1,GD2,0.6287999999999999,0.39999999999999997,0.152,0.0768,-15.412234722602278,-11.723466142400891,-6.208993221668565,-5.257749914634016,11.299999999999999,2,3,4,2,3,6.510208125210601,1.7600000000000002,4.750208125210601,0.0,1.029707670211792,0.49700022322855586,0.5029997767714443,-15.416354664537593,-15.881095618184924,0.5386511470794949,0.46134885292050504,0.5053304079987436,0.4946695920012563,0.39346448044167487,0.28031153257551683,0.3262239869828083,0.3935292224765136,0.2802778566375296,0.3261929208859569,0.7178249950032577,0.06255120216004036,0.21962380283670196,0.4908179542345368,0.2149598602942828,0.2942221854711804,0.3934970456707465,0.28029459358622666,0.32620836074302695,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,GD2,
4,2,P2,P2,S2,"[""GD1"", ""GD2"", ""GD3"", ""GD5""]","[""GD4"", ""GD6"", ""GD7"", ""GD8""]",,[],GA1,GD2,3.7899733333333328,1.093333333333333,1.272,1.4246399999999997,-12.78137756537488,-9.010449216760389,-8.976070734680201,-8.143758971945411,11.299999999999999,2,3,4,2,3,6.510208125210601,1.7600000000000002,4.750208125210601,0.0,1.4341750144958496,0.49700022322855586,0.5029997767714443,-15.416354664537593,-15.881095618184924,0.5386511470794949,0.46134885292050504,0.5053304079987436,0.4946695920012563,0.39346448044167487,0.28031153257551683,0.3262239869828083,0.3935292224765136,0.2802778566375296,0.3261929208859569,0.7156862137202845,0.06174217768963201,0.22257160859008346,0.4901763198496448,0.2147171529531603,0.2951065271971949,0.3934970456707465,0.28029459358622666,0.32620836074302695,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,GD2,9.380680799484253
5,1,P1,P1,S1,"[""GD1"", ""GD2"", ""GD3"", ""GD5""]","[""GD4"", ""GD6"", ""GD7"", ""GD8""]",,[],GA1,GD2,1.6879999999999997,0.6,0.5599999999999999,0.5279999999999999,-15.81610525598532,-12.1883307922663,-6.596229364378487,-5.589902295215501,11.299999999999999,2,3,4,2,3,6.510208125210601,1.7600000000000002,4.750208125210601,0.0,1.5559806823730469,0.49797379596713753,0.5020262040328626,-15.545964057341855,-13.57889994784956,0.34170889846851105,0.6582911015314888,0.46672081646741226,0.5332791835325879,0.4130530422761447,0.26429503805599996,0.3226519196678554,0.41314115102500115,0.2642507956045495,0.32260805337044945,0.71711170983559,0.06265876588293799,0.220229524281472,0.5042706425439784,0.2038041564040814,0.29192520105194036,0.4130972751768752,0.2642728271860412,0.3226298976370837,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,GD2,
5,2,P1,P1,S2,"[""GD1"", ""GD2"", ""GD3"", ""GD5""]","[""GD4"", ""GD6"", ""GD7"", ""GD8""]",,"[""GD5""]",GA1,GD3,2.285333333333333,0.7333333333333334,0.76,0.7919999999999998,-14.685726154150027,-11.057235738916175,-7.17678540892194,-6.175000222175493,11.299999999999999,2,3,4,2,3,5.38166002687522,0.8800000000000001,4.5016600268752205,0.0,0.8292620182037354,0.49797379596713753,0.5020262040328626,-15.545964057341855,-13.57889994784956,0.34170889846851105,0.6582911015314888,0.46672081646741226,0.5332791835325879,0.4130530422761447,0.26429503805599996,0.3226519196678554,0.41314115102500115,0.2642507956045495,0.32260805337044945,0.7151195562687335,0.062076899781938484,0.222803543949328,0.5036729964739213,0.20362959657378152,0.2926974069522971,0.4130972751768752,0.2642728271860412,0.3226298976370837,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,0.3303836633663367,0.33811881188118814,0.3215965346534653,0.0,0.009900990099009901,0.0,0.0,0.0,GD2,15.36594557762146
